index,dte,from_date,to_date,start_time,end_time,run
BANKNIFTY,1,06-01-2017,31-10-2024,09:15:00,15:29:00,TRUE
BANKNIFTY,2,06-01-2017,31-10-2024,09:15:00,15:29:00,TRUE
BANKNIFTY,3,06-01-2017,31-10-2024,09:15:00,15:29:00,TRUE
BANKNIFTY,4,06-01-2017,31-10-2024,09:15:00,15:29:00,TRUE
BANKNIFTY,5,06-01-2017,31-10-2024,09:15:00,15:29:00,TRUE
BANKNIFTY,6,06-01-2017,31-10-2024,09:15:00,15:29:00,TRUE
NIFTY,1,01-03-2019,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,2,01-03-2019,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,3,01-03-2019,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,4,01-03-2019,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,5,01-03-2019,31-12-2024,09:15:00,15:29:00,TRUE
NIFTY,6,01-03-2019,31-12-2024,09:15:00,15:29:00,TRUE
FINNIFTY,1,06-07-2022,31-10-2024,09:15:00,15:29:00,TRUE
FINNIFTY,2,06-07-2022,31-10-2024,09:15:00,15:29:00,TRUE
FINNIFTY,3,06-07-2022,31-10-2024,09:15:00,15:29:00,TRUE
FINNIFTY,4,06-07-2022,31-10-2024,09:15:00,15:29:00,TRUE
FINNIFTY,5,06-07-2022,31-10-2024,09:15:00,15:29:00,TRUE
FINNIFTY,6,06-07-2022,31-10-2024,09:15:00,15:29:00,TRUE
MIDCPNIFTY,1,06-07-2023,31-10-2024,09:15:00,15:29:00,TRUE
MIDCPNIFTY,2,06-07-2023,31-10-2024,09:15:00,15:29:00,TRUE
MIDCPNIFTY,3,06-07-2023,31-10-2024,09:15:00,15:29:00,TRUE
MIDCPNIFTY,4,06-07-2023,31-10-2024,09:15:00,15:29:00,TRUE
MIDCPNIFTY,5,06-07-2023,31-10-2024,09:15:00,15:29:00,TRUE
MIDCPNIFTY,6,06-07-2023,31-10-2024,09:15:00,15:29:00,TRUE
BANKEX,1,01-01-2024,31-10-2024,09:15:00,15:29:00,TRUE
BANKEX,2,01-01-2024,31-10-2024,09:15:00,15:29:00,TRUE
BANKEX,3,01-01-2024,31-10-2024,09:15:00,15:29:00,TRUE
BANKEX,4,01-01-2024,31-10-2024,09:15:00,15:29:00,TRUE
BANKEX,5,01-01-2024,31-10-2024,09:15:00,15:29:00,TRUE
BANKEX,6,01-01-2024,31-10-2024,09:15:00,15:29:00,TRUE
SENSEX,1,01-01-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,2,01-01-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,3,01-01-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,4,01-01-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,5,01-01-2024,31-12-2024,09:15:00,15:29:00,TRUE
SENSEX,6,01-01-2024,31-12-2024,09:15:00,15:29:00,TRUE
